username,price,rating,total_count,description,comment
derek_chapman_4850,3.0,58.1,51.2,"""Ipsum dolor, Quisquam animi tempora nam explicabo nesciunt Libero sequi""","""Eum expedita omnis cupiditate: A enim eligendi excepturi, Saepe beatae quam architecto impedit ullam"""
ms_young_3953,48.0,54.1,64.2,"""Note: Quis magnam odio, then Consequatur ipsa fuga necessitatibus""","""Consequatur quia hic exercitationem distinctio: Voluptas perspiciatis ea, Eveniet delectus quibusdam dolor"""
miss_harris_1222,100.0,35.1,34.2,"""(Nihil suscipit dolorum) , Impedit officiis and Quibusdam at architecto repudiandae""","""Vitae est: Facilis optio voluptatibus consectetur, Beatae ipsam"""
anna_cooper_2228,23.0,2.1,95.2,"""Note: Ex expedita, then Nesciunt suscipit dolor""","""Voluptatem quibusdam; Necessitatibus nam ipsum est repellat sed , Vitae id dolorem id"""
carole_foster_6122,100.0,7.1,27.2,"""Nisi delectus corrupti nisi; Perspiciatis inventore , Reiciendis magnam explicabo""","""Illo nulla: Et similique, Nihil nostrum mollitia nemo"""
alan_williams_3539,85.0,38.1,32.2,"""Perferendis fugiat quaerat eos: Ea distinctio, Voluptates""","""Note: Esse alias, then Sit rerum dolores libero"""
katy_king_4569,58.0,69.1,96.2,"""Laborum modi: Ducimus nemo natus placeat commodi, Non impedit praesentium saepe rem aliquam""","""Note: Facilis ipsa tenetur, then Animi et nisi"""
molly_randall_0543,25.0,92.1,1.2,"""Possimus voluptatum officiis, Laborum possimus Accusantium cupiditate delectus""","""Fugit ratione; Asperiores beatae aliquam , Aperiam quaerat excepturi"""
sara_nelson_6153,61.0,28.1,67.2,"""Deserunt ex delectus; Sapiente aperiam quidem , At minus aspernatur veritatis""","""Quod eos; Fugit expedita , Inventore dignissimos"""
josh_miller_8531,36.0,7.1,66.2,"""Note: Iusto molestias, then Minima adipisci""","""Note: Qui, then Nisi illum"""
mr_evans_1355,60.0,91.1,,"""Voluptatibus facere, Animi dolorum Distinctio placeat nesciunt consequatur""","""Deserunt ea velit quis vitae: Laboriosam consequuntur, Atque debitis corporis voluptate"""
guy_charlton_4449,85.0,91.1,47.2,"""(Itaque cum a) , Incidunt and Laborum consequatur laudantium""","""Note: Neque, then Laboriosam ab recusandae et impedit neque"""
clifford_gibson_4901,56.0,48.1,18.2,"""Note: Nam asperiores fuga corrupti, then Expedita officiis reprehenderit vero""","""Amet: Iusto ab, Quasi architecto perspiciatis quas"""
jade_taylor_3119,66.0,77.1,92.2,"""Repellendus saepe quae suscipit, Architecto debitis voluptatibus a Illo""","""Debitis, Beatae unde Fuga"""
teresa_coates_1086,81.0,21.1,7.2,"""Exercitationem nisi quod quod sed, Cum impedit Sapiente""","""Note: Voluptate facere illo quam molestias placeat, then Deleniti rerum nobis ipsum"""
marc_holmes_0155,15.0,58.1,73.2,"""Ullam nihil nesciunt: Non perferendis, Quae officiis porro voluptas""","""(Reiciendis perferendis repudiandae) , Sit rerum nemo nostrum and Ex"""
dr_gardner_1976,14.0,97.1,79.2,"""Molestias: Error officiis, Quis animi neque""","""Facere ipsum non corrupti: Sapiente nam inventore excepturi facilis architecto, Odit temporibus ducimus id nemo"""
dr_cook_8192,40.0,56.1,79.2,"""Accusamus assumenda consequatur adipisci excepturi aperiam, Inventore assumenda aliquam Eveniet explicabo modi aliquid sunt""","""Ullam explicabo numquam labore: Mollitia molestias, Praesentium nam eligendi voluptates rem minus"""
terry_davey_4235,2.0,56.1,41.2,"""Maiores aliquam eos: Deleniti unde suscipit, Perferendis inventore facere""","""Note: Corrupti, then Provident similique"""
mrs_williams_1100,57.0,32.1,37.2,"""Note: Aliquam eius quisquam, then Sequi eligendi iste""","""(Quisquam minus) , Delectus iste dignissimos incidunt and Voluptatem"""
clare_warner_2962,88.0,7.1,73.2,"""(Quis ea iusto) , Reiciendis and Voluptatibus eaque quibusdam quos velit suscipit""","""Note: Id ratione blanditiis temporibus, then Excepturi accusantium tenetur deserunt eos"""
mrs_white_1414,9.0,10.1,7.2,"""Hic ad eligendi iste; Molestias aliquam fuga ab , Explicabo reiciendis perspiciatis asperiores""","""Note: Quisquam tenetur optio voluptas, then Modi corporis"""
victoria_dixon_6515,98.0,91.1,79.2,"""(Harum unde consequatur quasi) , Corrupti est and Officia ut""","""Vel rerum: Dolore maxime quisquam quia, Natus commodi fugiat"""
jasmine_mitchell_5340,26.0,19.1,11.2,"""Sint sit quia possimus ipsam; Cupiditate expedita dolorum quasi , Vero amet omnis""","""Alias autem velit, Quae adipisci Sed"""
gail_fletcher_8821,50.0,69.1,72.2,"""(Error quam) , Perspiciatis iusto nostrum consequatur omnis and Qui velit reiciendis eum nesciunt""","""Consectetur inventore dolore, Mollitia necessitatibus voluptatibus reprehenderit Soluta vitae"""
lisa_wilkins_8573,38.0,34.1,55.2,"""Tenetur quis; Iste laudantium natus voluptatum , Excepturi impedit""","""Autem sed optio: Doloremque, Suscipit quidem"""
dr_norman_5311,97.0,23.1,97.2,"""(Amet nemo) , Odio id similique architecto and Cumque fuga""","""Perferendis aliquid quibusdam; Inventore architecto explicabo quasi exercitationem nam , Quod quam"""
jeremy_francis_4332,59.0,41.1,62.2,"""(Dolore) , Reprehenderit and Enim""","""Voluptates, Unde delectus Odit temporibus asperiores esse"""
ms_walsh_6561,52.0,38.1,100.2,"""Tempora ipsa, Excepturi dolorum maxime magni totam Dignissimos minus voluptate""","""(Officiis eos natus quod) , Itaque repellendus and Officia pariatur quod unde"""
miss_wood_7749,,43.1,48.2,"""Ratione eaque sint commodi laborum; Reprehenderit consectetur quasi , Animi repudiandae autem ex modi""","""Praesentium deleniti itaque fugit totam: Ratione odit repellendus rem, Odit illum vero corporis"""
sheila_smith_1694,68.0,86.1,56.2,"""Note: Neque deleniti dolore, then Earum vel veritatis""","""Sed architecto: Assumenda consectetur ducimus, Velit iusto"""
geoffrey_pickering_8320,95.0,56.1,29.2,"""Note: Laborum quis sit id, then Quidem nobis consectetur odit sed""","""Note: Laudantium cum reiciendis, then Excepturi"""
hugh_shaw_4508,98.0,35.1,56.2,"""(Repellendus dignissimos ab saepe magnam) , Veniam dolores quam error magni and Aperiam quisquam""","""Note: Esse sapiente repellat, then Nemo rerum id quae itaque incidunt"""
harry_gray_4350,51.0,82.1,45.2,"""Nam quaerat, Numquam corrupti Voluptatem hic""","""Note: Neque sunt nostrum odit, then Quia voluptas mollitia"""
john_hall_7025,31.0,26.1,39.2,"""(Iusto illum soluta) , Natus at ea and Sequi vero""","""(Qui eveniet) , Quod neque eum exercitationem and Ut minus odit asperiores perferendis"""
