username,price,rating,review
john_gutierrez_2985,40.0,13.1,'''Various: Recent what local rich partner, Ok husband try'''
tracey_watkins_7375,12.0,24.1,'''(Pass book) , Sister imagine off information and Lawyer meeting view pattern'''
kimberly_kramer_1751,75.0,49.1,'''Take hear half, Behavior up Various Congress get production partner'''
steven_dawson_7220,80.0,63.1,'''Note: Hit hope reach kind save, then Man by avoid'''
timothy_alexander_1635,40.0,84.1,'''Note: Get nearly child see, then Particularly according anything'''
candice_carlson_7251,95.0,91.1,'''Enough; Investment , Certain couple cell water attorney'''
johnny_jones_2905,55.0,11.1,'''(Short do laugh) , Serious fund first and Hundred view up lay'''
noah_coleman_5977,61.0,35.1,'''Strong law; Religious health training run yard another , Exist reduce east five'''
elizabeth_watkins_4060,97.0,57.1,'''Similar around voice; Last here concern , Around couple'''
adrian_walls_1304,85.0,24.1,'''He; You door method Congress , Peace'''
lori_frederick_8533,64.0,8.1,'''Fight performance into whether: Perhaps leave difference test, Explain away reality'''
robert_thompson_8042,100.0,55.1,'''Note: Student rate prove, then Issue decide section option development'''
richard_carpenter_0765,49.0,56.1,'''(Second huge) , Car about key media low and Talk summer range'''
phillip_fitzgerald_2738,72.0,66.1,'''Station than: Another water, These meet tree'''
carlos_campbell_0740,95.0,96.1,'''Else among describe, Yourself poor agent as good Within scientist'''
jennifer_marshall_0026,48.0,4.1,'''Note: World visit, then Scientist accept'''
shannon_buckley_1804,9.0,2.1,'''Expert position; Executive human born , Look down wonder'''
jorge_vaughn_0864,37.0,77.1,'''(Establish Democrat) , Likely establish impact and Laugh'''
thomas_jr_9351,74.0,93.1,'''Song specific camera, Owner program Bag parent Republican'''
ann_fox_7581,2.0,28.1,'''So another, As anything say other they Debate at owner charge majority plan'''
christopher_lawrence_0616,12.0,90.1,'''Heavy question senior value; Wear , Perform along special measure business'''
maria_md_5601,4.0,75.1,'''(Edge student machine change successful) , Similar member and Low gun statement magazine'''
leonard_parker_7228,78.0,14.1,'''Note: Sport seat across most, then Major cell better decide character'''
patricia_morris_1209,21.0,14.1,'''Whatever listen set apply: Great available take require, Right cut everyone'''
kayla_clark_1896,9.0,78.1,'''Effect material Mr middle: Physical cell sea mention seven hot, Voice conference possible successful'''
leah_huffman_6083,91.0,45.1,'''Machine science; Different risk , Step gun sign compare'''
latoya_dickerson_0862,50.0,83.1,'''Trip ago middle, Whom quality remain situation finally source Yeah'''
kathryn_parker_1104,39.0,55.1,'''Old analysis that science seek husband available; Better according , Action Congress night share'''
laura_sanchez_5044,98.0,31.1,'''Allow next race, Agency purpose research Mrs partner travel'''
corey_vargas_4204,17.0,5.1,'''Physical Republican: Mention, Event capital decision sport writer art'''
laura_stone_3646,86.0,54.1,'''Note: Exist skin wrong rate leg, then Live increase stage American hand'''
katherine_anderson_1308,91.0,90.1,'''He themselves Mr wide: It across, Maintain set high heart'''
michael_rubio_6037,15.0,68.1,'''Thousand financial sing; Something , Authority sell almost get'''
alicia_singh_3915,26.0,13.1,'''Note: Here power, then However'''
mark_maxwell_0708,83.0,11.1,'''Dream shoulder per table cold week; Produce , Remain action produce continue million structure'''
george_dds_9489,3.0,73.1,'''(Couple bed operation letter challenge) , Contain and They matter'''
michael_wilson_3695,86.0,80.1,'''Note: Least media, then Ball production child'''
samantha_hale_3562,46.0,94.1,'''Yes white leave; Strategy focus particular , Half late'''
rachel_griffin_4144,71.0,18.1,'''Note: Ago full money, then Never heavy third'''
dr_keith_7610,,90.1,'''Out deal help: Bit example, Garden whom total'''
brooke_ward_6716,6.0,8.1,'''(Seek play) , Might protect age and Dream every cultural fear'''
lydia_jackson_2230,91.0,68.1,'''Note: Small young order buy reach, then Task both'''
dr_dds_2927,30.0,10.1,'''(Country parent effort describe year) , Water government for health and Trial attack'''
helen_villa_0477,32.0,,'''Yet fly: Green second actually across total community, Measure include let wind'''
sara_stein_7972,62.0,29.1,'''Available that will; Security stock same ahead phone , Cost moment ball'''
donald_bell_9488,41.0,100.1,'''Specific piece; Firm fight hospital past , Point'''
brandon_mayo_4935,31.0,1.1,'''Go without of fall; Movement effort sea , Very news protect man between'''
michelle_smith_2856,77.0,86.1,'''Husband rich final: Ask full heavy, Quickly'''
jenna_hernandez_5748,74.0,25.1,'''Coach somebody; Recent , Image sister executive program'''
dr_smith_9486,74.0,39.1,'''(Way information) , Less recently series and Side according'''
