username,score,age,salary,comment,message
dr_kemp_1746,72.0,37.1,63.2,'''Ad, Necessitatibus culpa Ut''','''At dolor dolores aperiam at; Asperiores , Vel debitis cupiditate numquam'''
samuel_ellis_3167,9.0,56.1,42.2,'''(Consectetur vero sed culpa) , Cupiditate and Deleniti aspernatur sequi''','''Quis nostrum aspernatur, Nobis quidem eum natus Doloremque unde unde accusamus consequuntur officia'''
mrs_williamson_6799,2.0,93.1,88.2,'''(Laudantium sapiente) , Suscipit sit ad and Quod pariatur porro''','''Tempore voluptates; Consequatur esse repellendus , Atque nobis repudiandae'''
wayne_freeman_1237,1.0,99.1,85.2,'''Note: Eveniet, then Quae''','''Note: Voluptatum praesentium inventore dicta in, then Placeat nesciunt'''
miss_gould_1934,33.0,6.1,24.2,'''(Rerum) , Accusantium soluta and Sequi illum error aperiam reiciendis quia''','''Id laudantium explicabo quam ipsa ipsum; Alias distinctio , Recusandae laborum dolor'''
dale_jones_9582,78.0,,55.2,'''Asperiores, Quas cupiditate nulla ullam a doloribus Nulla sapiente eveniet''','''Cupiditate quia deleniti sunt, Ipsam aperiam amet dolor Quisquam distinctio ut facilis'''
julie_cox_3364,63.0,11.1,33.2,'''Note: Cumque in doloremque earum quam, then Odit aspernatur''','''Neque minus: Illo officia nam necessitatibus, Iure'''
mr_lewis_5421,6.0,44.1,21.2,'''Note: Nam nesciunt, then Ipsam similique laborum''','''Saepe libero ipsam praesentium corrupti; Pariatur ipsam , Consequuntur laboriosam'''
marion_ward_4035,39.0,97.1,7.2,'''Autem, Porro consectetur ad voluptatem Maxime debitis''','''Totam amet; Laborum error , At necessitatibus'''
julia_preston_5100,26.0,66.1,4.2,'''Note: Officia possimus nemo ullam, then Cumque''','''Aliquid impedit soluta; Repudiandae quis et , Libero mollitia'''
dr_dixon_8364,25.0,18.1,74.2,'''Iure mollitia aliquid; Possimus explicabo , Inventore dolores nobis''','''Note: Quis molestiae nisi, then Perferendis enim modi'''
miss_green_0204,2.0,68.1,6.2,'''Laborum nulla: Sunt ad et, Nihil fuga''','''Autem aliquid: Ipsam quis ut quaerat, Consequuntur ipsa minus mollitia'''
dr_marsden_8156,12.0,96.1,58.2,'''Note: Dolores, then Quos quo facere itaque doloremque''','''Nostrum, Sed voluptas nesciunt Libero maiores doloribus repellat error non'''
hazel_storey_9733,32.0,33.1,2.2,'''Note: Praesentium, then Nostrum accusantium expedita quidem illum ad aut''','''Soluta totam sit; At quis illo similique et , Ab quisquam quod mollitia'''
iain_johnson_1526,69.0,97.1,84.2,'''Reiciendis at maiores nemo consequatur voluptas; Eaque aspernatur totam debitis , Voluptate harum''','''Note: Quae veritatis fuga, then Saepe excepturi'''
dr_hardy_7200,85.0,77.1,83.2,'''(Voluptatem explicabo mollitia) , Laudantium doloribus and Cupiditate eos reprehenderit ducimus inventore sint''','''Vero nobis dolorem nostrum perferendis recusandae; Quod voluptate nisi quaerat dignissimos labore , Officiis fugiat'''
luke_parker_0204,77.0,35.1,31.2,'''Note: Molestiae nostrum maxime quas, then Aperiam reprehenderit praesentium corrupti quod''','''Provident ullam: Harum, Dolore sed'''
katherine_carter_7037,38.0,34.1,59.2,'''Aliquam accusantium quidem quisquam, Doloremque odio Tempore harum dicta''','''Facere eaque minus: Quam reprehenderit, Illo temporibus consequuntur'''
ms_jones_3758,15.0,97.1,48.2,'''Velit enim alias incidunt, Mollitia veritatis vero itaque sed Suscipit''','''(Sit molestiae sapiente) , Corporis occaecati autem and Odit distinctio'''
vincent_kelly_6758,39.0,13.1,82.2,'''Tempore magnam tempore expedita; Mollitia consectetur doloremque aperiam amet , Eos nam''','''(Harum totam) , Fugiat saepe and Suscipit dolor'''
francis_stewart_4947,57.0,75.1,90.2,'''Quo nam; Aperiam corporis exercitationem sit similique , Possimus maxime''','''Praesentium neque in; Consectetur minima , Culpa corporis error'''
martin_cook_8586,11.0,59.1,,'''Tempore illum: Molestiae officia dolorem, Dolore tenetur impedit''','''Eos tenetur, Magnam voluptates Voluptatum eaque ullam'''
ms_hunt_0405,57.0,100.1,77.2,'''Ipsam consectetur: Nemo, Dolor iure quisquam''','''Eos eligendi quae iusto corrupti, Voluptatem labore aut Maiores nemo amet tempora saepe minima'''
mrs_turner_5267,48.0,63.1,82.2,'''Necessitatibus impedit, Veritatis quos id officiis fugit voluptatibus Quisquam odio debitis''','''Note: Architecto, then Consequatur doloremque'''
mrs_harvey_2211,,25.1,54.2,'''(Fuga expedita error) , Eos cumque and Voluptatem''','''Ipsa unde ad: Officiis blanditiis cum, Tenetur'''
brett_porter_9015,10.0,69.1,72.2,'''Praesentium repellendus, Qui reprehenderit Incidunt''','''Impedit soluta praesentium velit earum dolor; Quae accusantium minus , Aperiam dolor'''
miss_harrison_8688,65.0,15.1,100.2,'''Minima quos velit, Harum Illo exercitationem''','''(Ipsam adipisci harum) , Debitis asperiores dolore quae and Voluptatibus tenetur distinctio veritatis ad'''
ms_bell_1727,10.0,34.1,49.2,'''Note: Eveniet, then Eaque voluptas veritatis magni''','''Note: Incidunt nostrum, then Ea a'''
caroline_stewart_3738,25.0,89.1,77.2,'''Note: Saepe inventore facere eaque ipsa, then Ut numquam autem perspiciatis''','''Reprehenderit neque accusantium; Quis eum , Dignissimos'''
